public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
20180531,Consumer Discretionary,504,0.055266,0.024119,0.093,0.406,0.51,16.854,2.06%,10.297,9,13.959,13.916,15.615,15.744,0.929,1.959,0.328,0.357,0.097,0.096,0.087,0.349,0.035,0.074,0.108,0.126,0.195,0.051,0.116,0.107,0.097,0.368,0.623,0.357,0.445,0.235,0.229,0.623,0.423,0.126,0.127,0.074,0.047,0.579,0.458,1.931,0.47,0.058,0.053,0.39,2.88,1.187,0.59,0.281,0.489,3.427,3.936,67.516,0.417,1.575,1.011,1.159,5.596,10.043,14.299,2.663,1.703,6.455,0.054,0,0.016,0
20180531,Consumer Staples,135,0.022307,-0.01583,0.306,0.69,0.371,19.142,2.27%,12.287,10.474,15.978,16.442,18.859,19.099,1.191,2.466,0.304,0.404,0.11,0.11,0.08,0.34,0.036,0.068,0.101,0.151,0.217,0.041,0.117,0.105,0.108,0.363,0.616,0.36,0.443,0.384,0.262,0.663,0.427,0.143,0.072,0.072,0.11,0.598,0.416,1.95,0.452,0.051,0.045,0.424,2.605,1.261,0.57,0.302,0.501,4.86,5.023,58.121,0.294,1.703,0.892,1.205,5.156,8.887,10.717,2.426,1.686,6.572,0.034,0,0.009,0
20180531,Energy,198,0.055173,0.037651,0,-0.002,0.784,-2.351,1.97%,7.995,7.24,1.778,3.587,-0.042,-0.042,1.603,1.502,-0.013,0.143,0.019,0.017,0.029,0.334,0.009,0.033,0.209,0.022,0.028,-0.022,0.096,0.027,0.009,0.335,0.613,0.332,0.351,0.056,0.418,-0.313,0.595,0.133,0.129,0.179,0.012,0.809,0.254,2.15,0.443,0.07,0.068,0.536,0.698,0.902,0.494,0.267,0.409,1.166,1.03,49.403,0.433,1.417,1.262,0.4,17.154,6.463,6.199,0.88,0.514,4.609,0.078,0,0,0
20180531,Financials,602,0.03017,-0.000061,0.343,1.283,0.667,23.965,1.97%,11.666,12.672,19.343,19.289,17.051,17.326,3.53,1.576,0.362,0.04,0.084,0.083,0,0.812,0.162,0.4,0.433,0.203,0.513,0.254,0.023,0.105,0.084,0.246,0.74,0.244,0.449,0,0.24,0.927,0.487,0.016,0.056,0.199,0.262,0.7,0.554,2.978,0.322,0.051,0.046,0.055,63.671,7.127,0.878,0.08,0.875,3.758,5.305,143.414,1.193,1.928,1.928,0.049,2.138,0.012,0.074,0.475,0.346,3.74,0.005,0,0.008,0.306
20180531,Health Care,700,0.073908,0.017081,0,-0.018,0.255,-4.234,1.15%,-3.388,-3.027,-5.15,-5.114,-5.091,-5.208,6.399,4.343,0.262,0.072,-0.391,-0.467,-0.226,0.334,-0.415,-0.338,-0.318,-0.412,-0.465,-0.41,-0.29,-0.315,-0.484,0.094,0.854,0.102,0.15,0.001,0.079,0.749,-1.371,-0.508,1.187,-0.334,0.097,-1.407,0.526,0,0.086,0.085,0.069,0.193,7.557,0.528,0.394,0.112,0.207,-5.762,-5.768,85.771,2.599,3.48,3.13,0.434,3.765,7.533,6.166,0.868,0.599,1.124,0.077,0.128,0,0
20180531,Industrials,478,0.051949,0.034178,0.156,0.591,0.433,24.126,1.37%,11.239,13.294,18.658,18.032,19.818,20.094,1.167,2.339,0.266,0.27,0.111,0.111,0.08,0.286,0.039,0.071,0.11,0.114,0.183,0.053,0.115,0.109,0.106,0.349,0.632,0.349,0.395,0.261,0.403,0.613,0.321,0.13,0.118,0.075,0.061,0.559,0.407,2.015,0.513,0.051,0.046,0.412,3.448,1.258,0.573,0.271,0.454,4.437,5.76,77.875,0.321,1.916,1.355,0.981,5.101,9.434,6.187,2.318,1.449,5.095,0.033,0,0,0
20180531,Information Technology,564,0.063179,0.071386,0,0.285,0.301,15.801,1.51%,12.419,14.715,-0.182,0.405,13.86,14.028,2.46,3.394,0.297,0.377,0.014,0.011,0,0.527,0.001,0.032,0.079,0.051,0.099,0.013,0.071,0.048,0.005,0.143,0.829,0.152,0.205,0.026,0.262,0.771,0.26,0.128,0.511,0.046,0.092,0.262,0.631,0.495,0.152,0.062,0.052,0.186,6.787,0.793,0.492,0.137,0.286,1.136,3.027,70.847,0.96,2.031,1.801,0.769,4.487,7.849,5.746,1.466,1.138,2.614,0.077,0.115,0.001,0
20180531,Materials,149,0.037299,0.019544,0.212,0.332,0.452,21.652,1.56%,10.266,11.291,15.074,14.496,17.336,17.538,1.316,2.303,0.222,0.212,0.091,0.105,0.082,0.283,0.045,0.094,0.147,0.109,0.157,0.062,0.124,0.114,0.097,0.413,0.58,0.399,0.432,0.345,0.346,0.557,0.471,0.129,0.104,0.108,0.043,0.766,0.271,2.305,0.599,0.052,0.049,0.489,1.596,1.312,0.572,0.293,0.482,3.445,4.834,78.154,0.368,2.306,1.372,0.787,5.071,7.889,7.148,2.108,1.118,4.288,0.034,0.004,0,0
20180531,Real Estate,41,0.016152,0.011133,0.107,0.28,0.475,26.594,2.68%,15.053,16.685,21.106,20.126,19.065,19.464,4.601,2.096,0.113,0.089,0.093,0.093,0.074,0.381,0.108,0.136,0.239,0.108,0.167,0.14,0.066,0.06,0.097,0.363,0.594,0.359,0.397,0,0.265,0.75,0.524,0.112,0.133,0.257,0.041,0.67,0.292,5.409,0.547,0.052,0.046,0.659,1.151,0.974,0.501,0.324,0.438,3.527,2.966,66.041,0.621,1.588,1.335,0.193,6.233,11.874,6.55,0.461,0.259,3.414,0.014,0,0,0
20180531,Utilities,77,0.013934,-0.003494,0.627,1.604,0.644,25.657,3.16%,11.437,8.992,19.19,18.893,19.391,19.451,2.344,1.616,0.31,0.082,0.101,0.1,0.061,0.335,0.103,0.206,0.331,0.067,0.078,0.135,0.083,0.085,0.069,0.491,0.504,0.489,0.57,0.17,0.383,-0.067,0.644,0.095,0.009,0.244,0.112,0.811,0.152,4.053,0.706,0.051,0.045,0.437,0.943,2.315,0.693,0.351,0.557,2.956,3.363,27.052,0.06,0.755,0.611,0.245,12.32,7.239,8.754,0.829,0.421,7.721,0.036,0,0,0
20180630,Communication Services,30,0.062131,0.032958,0.174,0,0.497,3.677,4.29%,7.298,4.008,-0.217,-0.217,16.956,13.38,1.55,1.674,-0.435,0.272,-0.027,-0.027,0.037,0.569,0,0.075,0.273,0.046,0.068,0,0.119,0.04,-0.007,0.546,0.454,0.546,0.581,0.04,0.351,0.192,0.797,0.119,0.116,0.171,0.04,0.997,0.193,3.273,1.02,0.07,0.068,0.595,1.951,1.692,0.692,0.438,0.592,1.27,0.948,17.074,0.586,1.133,1.086,0.49,19.57,6.895,8.658,1.469,0.626,4.324,0.086,0,0.013,0
20180630,Consumer Discretionary,499,0.044179,0.03688,0.093,0.412,0.505,17.326,2.00%,10.163,9.207,14.216,14.216,16.034,16.258,0.906,2.045,0.326,0.356,0.102,0.097,0.087,0.355,0.036,0.074,0.109,0.124,0.194,0.051,0.116,0.11,0.102,0.37,0.618,0.367,0.445,0.236,0.223,0.633,0.419,0.126,0.126,0.075,0.048,0.581,0.454,1.922,0.478,0.058,0.053,0.391,2.893,1.189,0.592,0.281,0.496,3.397,4.093,67.167,0.402,1.575,0.993,1.157,5.423,9.734,14.299,2.663,1.72,6.362,0.052,0,0.016,0
